Date Time (UTC)	Power Setpoint (mW)	Laser Display (mW)	Power Meter Mean (W)	Power Meter Std (W)	Keithley Mean (V)	Keithley Std (V)	Raspberry Mean (ADU)	Raspberry Std (ADU)	ND Filter	AoI (degree)	PD Temp (ºC)	Ambient Temp (ºC)	Ambient RH (%)
3/15/2023 13:52:02 	2.700000000	4.199101448	NaN	-0.000000000	0.021177231	0.000119701	1.429500000	0.005911853	1	2	22.7	23.2	29
3/15/2023 13:52:24 	2.800000000	4.322533607	NaN	-0.000000000	0.021891770	0.000131609	1.479090909	0.008630812	1	2	22.7	23.2	29
3/15/2023 13:52:47 	2.900000000	4.437494278	NaN	-0.000000000	0.022590065	0.000087749	1.526545455	0.010969172	1	2	22.7	23.2	29
3/15/2023 13:53:10 	3.000000000	4.548825264	NaN	-0.000000000	0.023302496	0.000202874	1.563272727	0.016960784	1	2	22.7	23.2	29
3/15/2023 13:53:33 	3.100000000	4.668626308	NaN	-0.000000000	0.024057603	0.000195242	1.624045455	0.018703549	1	2	22.7	23.2	29
3/15/2023 13:53:56 	3.200000000	4.771486282	NaN	-0.000000000	0.024761818	0.000196142	1.675227273	0.016568590	1	2	22.7	23.2	29
3/15/2023 13:54:19 	3.300000000	4.891287804	NaN	-0.000000000	0.025658083	0.000218857	1.740863636	0.011524085	1	2	22.7	23.2	29
3/15/2023 13:54:41 	3.400000000	5.006248951	NaN	-0.000000000	0.026428656	0.000180936	1.782954545	0.022619079	1	2	22.7	23.2	29
3/15/2023 13:55:04 	3.500000000	5.124840260	NaN	-0.000000000	0.027317677	0.000171718	1.853909091	0.019356934	1	2	22.7	23.2	29
3/15/2023 13:55:27 	3.600000000	5.260373116	NaN	-0.000000000	0.028192390	0.000184071	1.913272727	0.006112952	1	2	22.7	23.2	29
3/15/2023 13:55:49 	3.700000000	5.377754211	NaN	-0.000000000	0.029009858	0.000109751	1.968727273	0.007015567	1	2	22.7	23.2	29
3/15/2023 13:56:12 	3.800000000	5.476984024	NaN	-0.000000000	0.029718796	0.000148098	2.003454545	0.036672506	1	2	22.7	23.2	29
3/15/2023 13:56:35 	3.900000000	5.585894108	NaN	-0.000000000	0.030484289	0.000235434	2.034227273	0.020913349	1	2	22.7	23.2	29
3/15/2023 13:56:57 	4.000000000	5.692384243	NaN	-0.000000000	0.031141265	0.000216928	2.047500000	0.000000000	1	2	22.7	23.2	29
3/15/2023 13:57:20 	4.100000000	5.795244217	NaN	-0.000000000	0.031949102	0.000256517	2.047500000	0.000000000	1	2	22.7	23.2	29
3/15/2023 13:57:43 	4.200000000	5.924726486	NaN	-0.000000000	0.032570928	0.000243808	2.047500000	0.000000000	1	2	22.7	23.2	29
3/15/2023 13:58:06 	4.300000000	6.037267208	NaN	-0.000000000	0.033248514	0.000261108	2.047500000	0.000000000	1	2	22.7	23.2	29
3/15/2023 13:58:29 	4.400000000	6.142547607	NaN	-0.000000000	0.034053849	0.000238229	2.047500000	0.000000000	1	2	22.7	23.2	29
3/15/2023 13:58:51 	4.500000000	6.247827530	NaN	-0.000000000	0.034738774	0.000169542	2.047500000	0.000000000	1	2	22.7	23.2	29
3/15/2023 13:59:14 	4.600000000	6.367629051	NaN	-0.000000000	0.035488739	0.000288227	2.047500000	0.000000000	1	2	22.7	23.2	29
3/15/2023 13:59:37 	4.700000000	6.487430573	NaN	-0.000000000	0.036287365	0.000255204	2.047500000	0.000000000	1	2	22.7	23.2	29
3/15/2023 13:59:59 	4.800000000	6.639904976	NaN	-0.000000000	0.037146423	0.000214343	2.047500000	0.000000000	1	2	22.7	23.2	29
3/15/2023 14:00:22 	4.900000000	6.759706497	NaN	-0.000000000	0.037806167	0.000338537	2.047500000	0.000000000	1	2	22.7	23.2	29
3/15/2023 14:00:45 	5.000000000	6.871037006	NaN	-0.000000000	0.038617743	0.000323549	2.047500000	0.000000000	1	2	22.7	23.2	29
3/15/2023 14:01:08 	5.100000000	7.007780075	NaN	-0.000000000	0.039644768	0.000226287	2.047500000	0.000000000	1	2	22.7	23.2	29
